# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cpu-clock:u'
# Event count (approx.): 14005023375
#
# Children|Self|Symbol|IPC   [IPC Coverage]
0.11%|0.11%|[.] _mi_heap_delayed_free_partial|-      -
0.11%|0.11%|[.] mi_bin|-      -
0.11%|0.11%|[.] simdutf::convert_utf8_to_utf16le_with_errors(char const*, unsigned long, char16_t*)|-      -
0.11%|0.11%|[.] simdutf::full_result simdutf::scalar::(anonymous namespace)::utf16_to_utf8::convert_with_errors<(simdutf::endianness)0, false, char16_t const*, char*>(char16_t const*, unsigned long, char*, unsigned long) [clone .isra.0]|-      -
0.11%|0.11%|[.] 0x0000000000188eab|-      -
0.11%|0.00%|[.] moonbitlang_async_get_errno|-      -
0.11%|0.00%|[.] 0x00007a1828588eab|-      -
0.07%|0.07%|[.] _M0MP311moonbitlang5async9websocket6OpCode10from__byte|-      -
0.07%|0.07%|[.] _M0MPC13set3Set10push__awayGRP411moonbitlang5async8internal9coroutine9CoroutineE|-      -
0.07%|0.07%|[.] __memset_chk@plt|-      -
0.07%|0.07%|[.] _mi_page_free_collect.constprop.137|-      -
0.07%|0.07%|[.] simdutf::utf8_length_from_utf16(char16_t const*, unsigned long)|-      -
0.07%|0.07%|[.] 0x0000000000098643|-      -
0.07%|0.07%|[.] 0x00000000000986e3|-      -
0.07%|0.07%|[.] 0x0000000000188de6|-      -
0.07%|0.07%|[.] 0x0000000000189750|-      -
0.07%|0.04%|[.] _M0FPC111sorted__set9rotate__lGRP411moonbitlang5async8internal11event__loop5TimerE|-      -
0.07%|0.00%|[.] 0x00007a1828498643|-      -
0.07%|0.00%|[.] 0x00007a18284986e3|-      -
0.07%|0.00%|[.] 0x00007a1828588de6|-      -
0.07%|0.00%|[.] 0x00007a1828589750|-      -
0.04%|0.04%|[.] _M0IP016_24default__implP311moonbitlang5async2io6Reader62read__some_2edyncall__as___40moonbitlang_2fasync_2fio_2eReaderGRP311moonbitlang5async9websocket7MessageE|-      -
0.04%|0.04%|[.] _M0IP016_24default__implP311moonbitlang5async2io6Reader75read__exactly_2edyncall__as___40moonbitlang_2fasync_2fwebsocket_2eTransportGRP311moonbitlang5async4http16ServerConnectionE|-      -
0.04%|0.04%|[.] _M0IP311moonbitlang5async4http6SenderP311moonbitlang5async2io6Writer11write__once|-      -
0.04%|0.04%|[.] _M0IPC15bytes9BytesViewP311moonbitlang5async2io4Data63to__bytesview_2edyncall__as___40moonbitlang_2fasync_2fio_2eData|-      -
0.04%|0.04%|[.] _M0MP411moonbitlang5async8internal11event__loop9EventLoop18get__next__timeout|-      -
0.04%|0.04%|[.] _M0MP411moonbitlang5async8internal11event__loop9EventLoop7suspendN16_2aasync__driverS1526|-      -
0.04%|0.04%|[.] _M0MPC15bytes5Bytes11from__array|-      -
0.04%|0.04%|[.] __memcpy_chk@plt|-      -
0.04%|0.04%|[.] mi_heap_queue_first_update|-      -
0.04%|0.04%|[.] moonbit_make_ref_array_with_blit|-      -
0.04%|0.04%|[.] read@plt|-      -
